stock_id,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,alpha,score,rs20,exit_reason,regime_transition
2618,2021-11-19,2021-11-22,28.350000381469727,26.93250036239624,-0.050000000000000044,-0.05473815461346643,-0.0549369273608359,100.0,0.4616968251533848,stop_loss,
2610,2021-11-19,2021-11-25,28.200000762939453,31.0200008392334,0.10000000000000009,0.09451371571072342,0.0963700396752276,100.0,0.631484665504989,take_profit,
2618,2021-11-25,2021-11-26,28.799999237060547,27.359999275207517,-0.050000000000000044,-0.05473815461346643,-0.0329431396075223,100.0,0.5038168933729732,stop_loss,
3037,2021-11-19,2021-11-29,194.5,213.95,0.09999999999999987,0.0945137157107232,0.1151558969567951,100.0,0.2792871592867227,take_profit,
1795,2021-11-26,2021-12-02,111.5,105.925,-0.050000000000000044,-0.05473815461346643,-0.0610458832009332,89.08,0.1574992992781372,stop_loss,
2345,2021-11-30,2021-12-03,291.0,276.45,-0.050000000000000044,-0.054738154613466206,-0.0596601858386203,88.42,0.1248506620397689,stop_loss,
1560,2021-11-23,2021-12-06,87.5,89.5,0.02285714285714291,0.017755610972568503,0.0142741194544915,100.0,0.1406255371769775,time_exit,
4919,2021-12-06,2021-12-07,155.0,147.25,-0.050000000000000044,-0.05473815461346643,-0.0556628223055222,91.74,0.210539035414544,stop_loss,
3532,2021-12-03,2021-12-08,260.5,286.55,0.10000000000000009,0.0945137157107232,0.0858957544332492,100.0,0.5185289309597865,take_profit,
2344,2021-12-07,2021-12-14,31.722993850708008,30.136844158172607,-0.050000000000000044,-0.05473815461346632,-0.042532761506564,89.79,0.138852775658544,stop_loss,
2610,2021-12-08,2021-12-14,27.899999618530273,26.50499963760376,-0.050000000000000044,-0.05473815461346643,-0.0371596058752271,100.0,0.2616751466766582,stop_loss,
6669,2021-12-02,2021-12-15,1015.0,1055.0,0.039408866995073843,0.034224782870410086,0.0293419760166115,87.83,0.1394944681580159,time_exit,
3532,2021-12-15,2021-12-28,290.0,292.5,0.008620689655172376,0.003590162524722773,-0.0180859599822205,100.0,0.5418850720224642,time_exit,
5483,2021-12-15,2021-12-28,220.0,235.0,0.06818181818181812,0.06285422806619811,0.0414751685444252,94.52,0.1091792091814325,time_exit,
2603,2021-12-16,2021-12-29,352.5,360.0,0.02127659574468077,0.016182946888098737,-0.0028095356972195,89.12,0.1730930908671974,time_exit,
2615,2021-12-29,2022-01-03,174.78260803222656,166.04347763061523,-0.050000000000000044,-0.05473815461346643,-0.0454240555318753,92.94,0.2388068145502171,stop_loss,
3008,2021-12-30,2022-01-04,2405.0,2645.5,0.10000000000000009,0.0945137157107232,0.1014779825459383,89.56,0.1641038068413904,take_profit,
1560,2022-01-04,2022-01-05,116.0,110.2,-0.04999999999999993,-0.054738154613466206,-0.050262340560486,100.0,0.251656042762733,stop_loss,
3023,2021-12-30,2022-01-10,287.0,272.65,-0.050000000000000044,-0.05473815461346643,-0.0364151590248463,93.63,0.1096038068413904,stop_loss,
3008,2022-01-06,2022-01-10,2600.0,2470.0,-0.050000000000000044,-0.054738154613466206,-0.0409912528578996,98.11,0.2369914237210961,stop_loss,
2323,2022-01-10,2022-01-11,13.670211791992188,12.986701202392576,-0.050000000000000155,-0.05473815461346654,-0.0478022172413801,100.0,0.3907386532179073,stop_loss,
2327,2022-01-13,2022-01-14,134.06936645507812,127.36589813232422,-0.050000000000000044,-0.054738154613466206,-0.042383338084567,96.29,0.1159195589240911,stop_loss,
1590,2022-01-05,2022-01-18,982.0,952.0,-0.03054989816700615,-0.03538506076966441,-0.0221951936706601,93.92,0.1298467123527462,time_exit,
2327,2022-01-18,2022-01-20,134.06936645507812,127.36589813232422,-0.050000000000000044,-0.054738154613466206,-0.046772820510189,94.14,0.1091920773579877,stop_loss,
2812,2022-01-18,2022-01-25,10.126123428344728,13.3,0.3134345136235508,0.3068837180443811,0.019906050520825,90.24,0.1128680182073609,regime_exit,bull_to_neutral_confirm_1
2883,2022-01-24,2022-01-25,17.970293045043945,18.15,0.010000223953254617,0.004962816352490407,0.0370173213681006,100.0,0.1177702658666448,regime_exit,bull_to_neutral_confirm_1
3017,2022-01-25,2022-02-09,93.9108657836914,103.30195236206056,0.10000000000000009,0.09451371571072342,0.0554178906954749,94.17,0.1031576759411425,take_profit,
3324,2022-02-07,2022-02-17,226.0,248.6,0.09999999999999987,0.0945137157107232,0.0690832637372969,100.0,0.1397864697359324,take_profit,
3017,2022-02-16,2022-02-23,104.2904815673828,114.7195297241211,0.10000000000000031,0.09451371571072342,0.0939574109190155,96.03,0.1941657881736572,take_profit,
2006,2022-02-15,2022-02-24,71.5,67.925,-0.050000000000000044,-0.05473815461346643,-0.0475859781891945,96.44,0.1022767975176704,stop_loss,
2607,2022-02-23,2022-02-24,70.4000015258789,77.4400016784668,0.10000000000000009,0.0945137157107232,0.1217128347827107,98.99,0.1658228443104672,take_profit,
2344,2022-02-22,2022-03-07,33.90394973754883,32.20875225067139,-0.04999999999999993,-0.054738154613466206,-0.024763627524147,94.91,0.132778894462445,stop_loss,
2915,2022-02-25,2022-03-07,112.37416076660156,106.75545272827148,-0.050000000000000044,-0.05473815461346643,-0.0321883580158481,90.91,0.1215904442785729,stop_loss,
2637,2022-02-25,2022-03-08,91.8000030517578,89.0,-0.03050112155420226,-0.03533652743173721,-0.0123499773340528,100.0,0.1449988807421474,regime_exit,bull_to_neutral_confirm_1
1560,2022-03-07,2022-03-08,113.0,109.0,-0.03539823008849563,-0.04020921148456291,-0.041916058778759,100.0,0.1267517559841249,regime_exit,bull_to_neutral_confirm_1
1229,2022-03-08,2022-03-10,52.0950927734375,49.49033813476562,-0.050000000000000044,-0.05473815461346643,-0.0853949893197638,100.0,0.1142844406838905,stop_loss,
2603,2022-03-08,2022-03-16,370.0,382.375,0.033445945945945965,0.02829160207589143,-0.05,100.0,0.3229080365199357,stop_loss,
2609,2022-03-08,2022-03-23,121.5,131.0,0.07818930041152261,0.07281179766632806,-0.05,92.84,0.2594443429933089,regime_exit,bull_to_neutral_confirm_1
2915,2022-03-11,2022-03-23,104.59066772460938,115.0,0.09952448437176753,0.09404057173150937,0.0489615554472568,95.95,0.1150078897698623,regime_exit,bull_to_neutral_confirm_1
1560,2022-03-16,2022-03-23,121.5,124.5,0.024691358024691468,0.01958067793479268,-0.05,100.0,0.2201980053591309,regime_exit,bull_to_neutral_confirm_1
2014,2022-03-29,2022-03-30,47.349998474121094,44.98249855041504,-0.050000000000000044,-0.05473815461346643,-0.0569294263845521,90.53,0.1551504434652943,stop_loss,
4919,2022-03-31,2022-04-01,195.0,185.25,-0.050000000000000044,-0.05473815461346643,-0.0505068509137454,100.0,0.3284833758243608,stop_loss,
2404,2022-04-01,2022-04-07,194.5,184.775,-0.04999999999999993,-0.054738154613466206,-0.0301221438038994,93.22,0.104109968582513,stop_loss,
2545,2022-03-29,2022-04-08,54.0,54.6,0.011111111111111072,0.006068162926018417,0.0211652918162359,100.0,0.2765649251087496,regime_exit,bull_to_neutral_confirm_1
4958,2022-03-31,2022-04-08,111.0,109.0,-0.018018018018018056,-0.02291568376356401,-0.0246362242353876,92.47,0.1575032049114224,regime_exit,bull_to_neutral_confirm_1
1560,2022-04-08,2022-04-12,132.0,126.0,-0.045454545454545414,-0.050215370664248304,-0.0295842555210006,95.52,0.1517708229902634,regime_exit,bull_to_neutral_confirm_1
2892,2022-04-08,2022-04-12,26.2808895111084,29.35,0.11678107347144207,0.11121109305512578,-0.0261326895662629,100.0,0.1236327029248005,regime_exit,bull_to_neutral_confirm_1
5880,2022-04-08,2022-04-12,25.385942459106445,30.4,0.19751315315437146,0.19154051897405044,-0.0261326895662629,100.0,0.1221876032202218,regime_exit,bull_to_neutral_confirm_1
2834,2022-04-13,2022-04-14,10.23904514312744,9.72709288597107,-0.04999999999999982,-0.054738154613466095,-0.049452890365042,100.0,0.2330358426676613,stop_loss,
2889,2022-04-12,2022-04-18,14.64101219177246,16.15,0.10306581187573349,0.0975642367541587,-0.0035438290123895,91.2,0.1035581007436573,regime_exit,bull_to_neutral_confirm_1
2845,2022-04-13,2022-04-18,11.08780288696289,12.25,0.10481762030633024,0.09930730798560061,-0.0311332456003032,100.0,0.1394714924079292,regime_exit,bull_to_neutral_confirm_1
4958,2022-04-14,2022-04-18,109.0,104.0,-0.04587155963302747,-0.050630304971516216,-0.0316703268944994,93.3,0.1254477668246119,regime_exit,bull_to_neutral_confirm_1
2618,2022-04-18,2022-04-25,36.0,35.3,-0.019444444444444486,-0.024334995843724005,-0.0500000000000001,100.0,0.158610539521377,regime_exit,bull_to_neutral_confirm_1
2852,2022-04-19,2022-04-25,16.5,16.2,-0.018181818181818188,-0.02307866696894134,-0.0219964929635587,96.09,0.1266442657358453,regime_exit,bull_to_neutral_confirm_1
1789,2022-04-20,2022-04-25,25.850000381469727,26.6,0.029013524466634077,0.023881287436875454,-0.0087699464083716,93.5,0.1212333591726908,regime_exit,bull_to_neutral_confirm_1
2362,2022-04-26,2022-04-27,35.04999923706055,33.29749927520752,-0.04999999999999993,-0.054738154613466206,-0.0376893916037763,97.15,0.167690568917413,stop_loss,
3443,2022-06-01,2022-06-15,557.0,560.0,0.0053859964093356805,0.0003716024122817352,0.0299439323496852,100.0,0.2702385806605594,time_exit,
2059,2022-08-16,2022-08-29,467.5,463.0,-0.009625668449197877,-0.014565191299825253,0.0087800415858769,96.21,0.1053199579669657,time_exit,
2637,2022-04-25,2022-09-02,95.0999984741211,56.5,-0.4058885288481371,-0.4088516783301912,-0.0499999999999999,100.0,0.136018474658914,regime_exit,bull_to_neutral_confirm_1
1605,2022-04-26,2022-09-02,44.18281936645508,40.0,-0.09467072102761287,-0.099186079027475,-0.05,100.0,0.5455840424660248,regime_exit,bull_to_neutral_confirm_1
1795,2022-08-31,2022-09-02,174.0,178.0,0.02298850574712641,0.017886318686043623,-0.0218540648206142,100.0,0.2822844026877251,regime_exit,bull_to_neutral_confirm_1
