period,trades,win_rate_pct,avg_return_pct,avg_alpha_pct,median_alpha_pct,alpha_positive_pct,profit_factor
research_2021_2024,661,39.94,0.16,0.06,-2.69,38.88,1.06
oos_2025_2026,632,43.04,1.09,0.74,-2.32,41.93,1.4
