stock_id,signal_date,entry_date,exit_date,holding_days,score,oversold_score,reversal_score,entry,exit,return,market_return,alpha,relative_strength_20d,market_regime,exit_reason
1301,2024-06-20,2024-06-21,2024-06-26,4,71.75,65.0,80.0,61.0,57.949999999999996,-0.050000000000000044,-0.013205558405614104,-0.03679444159438594,-0.13463523511889186,bull,stop_loss
1301,2024-12-10,2024-12-11,2024-12-13,3,71.75,65.0,80.0,40.75,38.7125,-0.050000000000000044,-0.011732215306432314,-0.03826778469356773,-0.10981278084021573,bull,stop_loss
1301,2024-12-18,2024-12-19,2024-12-30,8,70.75,55.0,90.0,37.79999923706055,35.90999927520752,-0.050000000000000044,-0.0031985446795593786,-0.046801455320440666,-0.15874055536146225,neutral,stop_loss
1476,2022-03-18,2022-03-21,2022-04-01,10,71.75,65.0,80.0,455.0,488.5,0.07362637362637359,0.013156711751403538,0.06046966187497005,-0.2246592449927669,bull,time_exit
1476,2024-04-22,2024-04-23,2024-05-07,10,76.25,65.0,90.0,503.0,490.5,-0.0248508946322068,0.058918603062257935,-0.08376949769446473,-0.06442432789340191,bull,time_exit
1476,2026-04-09,2026-04-10,2026-04-23,10,71.75,65.0,80.0,326.5,333.0,0.019908116385911168,0.043933440737287555,-0.024025324351376387,-0.1695335878173515,bull,time_exit
1536,2026-03-18,2026-03-19,2026-03-23,3,76.25,65.0,90.0,52.5,49.875,-0.050000000000000044,-0.0383150548896658,-0.011684945110334244,-0.17752063519031835,bull,stop_loss
1605,2024-11-18,2024-11-19,2024-11-28,8,71.75,65.0,80.0,28.149999618530273,26.742499637603757,-0.050000000000000155,-0.001422885742319746,-0.04857711425768041,-0.10941050729977186,neutral,stop_loss
1795,2023-08-16,2023-08-17,2023-08-23,5,73.5,60.0,90.0,264.0,250.79999999999998,-0.050000000000000044,0.007757602593914559,-0.0577576025939146,-0.011974729367718484,neutral,stop_loss
1795,2025-08-22,2025-08-25,2025-09-05,10,77.25,75.0,80.0,195.0,192.5,-0.012820512820512775,0.02323138020208848,-0.036051893022601256,-0.15756751476703768,bull,time_exit
1795,2026-03-18,2026-03-19,2026-03-19,1,80.0,80.0,80.0,240.0,228.0,-0.050000000000000044,-0.011679803700163416,-0.03832019629983663,-0.3157222911648856,bull,stop_loss
1802,2022-02-07,2022-02-08,2022-02-15,6,74.5,70.0,80.0,23.75,22.5625,-0.050000000000000044,0.010422312828914926,-0.06042231282891497,-0.08704002678425837,bull,stop_loss
1802,2023-03-23,2023-03-24,2023-04-11,10,71.75,65.0,80.0,20.700000762939453,20.149999618530273,-0.026570102615352642,0.022114745889020515,-0.04868484850437316,-0.14651827673343387,bull,time_exit
1802,2026-08-03,2026-08-04,2026-08-04,1,74.5,70.0,80.0,47.099998474121094,51.80999832153321,0.10000000000000009,0.013421580448404802,0.08657841955159529,-0.24360359469268345,neutral,take_profit
2014,2023-10-18,2023-10-19,2023-10-24,4,70.75,55.0,90.0,21.5,20.425,-0.04999999999999993,-0.007508273549715172,-0.04249172645028476,-0.07039386482839238,neutral,stop_loss
2105,2025-06-26,2025-06-27,2025-07-10,10,72.75,75.0,70.0,39.5,39.04999923706055,-0.011392424378213972,0.00021506438841822906,-0.011607488766632201,-0.2211059838273488,bull,time_exit
2204,2025-07-23,2025-07-24,2025-08-07,10,70.75,55.0,90.0,55.20000076293945,56.900001525878906,0.030797114844984153,0.011265018996168052,0.0195320958488161,-0.11469203764336744,bull,time_exit
2231,2022-03-10,2022-03-11,2022-03-23,9,77.25,75.0,80.0,126.41087341308594,139.05196075439454,0.10000000000000009,0.028605443857260715,0.07139455614273937,-0.1745243205002408,neutral,take_profit
2231,2025-06-12,2025-06-13,2025-06-20,6,72.75,75.0,70.0,75.30000305175781,71.53500289916992,-0.04999999999999993,-0.038026375928969514,-0.01197362407103042,-0.15266945629047968,bull,stop_loss
2303,2024-11-07,2024-11-08,2024-11-14,5,76.25,65.0,90.0,47.400001525878906,45.03000144958496,-0.050000000000000044,-0.023432632269101417,-0.026567367730898628,-0.12327650041386051,bull,stop_loss
2308,2026-07-31,2026-08-03,2026-08-04,2,84.5,80.0,90.0,1610.0,1529.5,-0.050000000000000044,0.034845921681732506,-0.08484592168173255,-0.13285564293022845,neutral,stop_loss
