stock_id,signal_date,entry_date,exit_date,holding_days,score,oversold_score,reversal_score,entry,exit,return,exit_reason
2607,2025-10-14,2025-10-15,2025-10-29,10,90.0,90.0,90.0,58.599998474121094,58.400001525878906,-0.0034129172943666575,time_exit
2609,2022-09-12,2022-09-13,2022-09-14,2,70.75,55.0,90.0,72.4000015258789,68.78000144958496,-0.050000000000000044,stop_loss
2610,2026-03-11,2026-03-12,2026-03-25,10,72.75,75.0,70.0,19.049999237060547,18.950000762939453,-0.0052492639436201305,time_exit
2615,2022-09-12,2022-09-13,2022-09-19,5,76.25,65.0,90.0,78.4000015258789,74.48000144958496,-0.050000000000000044,stop_loss
2618,2025-11-24,2025-11-25,2025-12-08,10,71.75,65.0,80.0,33.599998474121094,34.29999923706055,0.02083335698597133,time_exit
2618,2026-03-11,2026-03-12,2026-03-25,10,77.25,75.0,80.0,33.900001525878906,35.650001525878906,0.051622416555470396,time_exit
2637,2022-09-12,2022-09-13,2022-09-26,10,77.25,75.0,80.0,56.0,55.20000076293945,-0.014285700661795464,time_exit
2851,2023-01-09,2023-01-10,2023-02-02,10,70.75,55.0,90.0,17.149999618530273,18.5,0.07871722516023127,time_exit
2880,2026-05-29,2026-06-01,2026-06-02,2,76.25,65.0,90.0,30.24752426147461,33.272276687622075,0.10000000000000009,take_profit
2915,2021-12-17,2021-12-20,2022-01-03,10,70.75,55.0,90.0,90.77497100830078,94.7640151977539,0.04394431796721099,time_exit
3017,2023-09-22,2023-09-25,2023-09-28,4,73.5,60.0,90.0,297.0,326.70000000000005,0.10000000000000009,take_profit
3023,2023-11-03,2023-11-06,2023-11-17,10,77.25,75.0,80.0,280.0,276.5,-0.012499999999999956,time_exit
3023,2024-01-15,2024-01-16,2024-01-29,10,70.75,55.0,90.0,273.0,262.5,-0.038461538461538436,time_exit
3023,2025-12-22,2025-12-23,2025-12-30,5,74.5,70.0,80.0,203.5,193.325,-0.050000000000000044,stop_loss
3033,2023-08-15,2023-08-16,2023-08-29,10,72.75,75.0,70.0,29.100000381469727,28.75,-0.012027504360192398,time_exit
3033,2025-08-28,2025-08-29,2025-09-11,10,72.75,75.0,70.0,28.600000381469727,27.950000762939453,-0.022727259086031903,time_exit
3189,2022-03-17,2022-03-18,2022-03-23,4,73.5,60.0,90.0,182.0,200.20000000000002,0.10000000000000009,take_profit
3231,2023-08-08,2023-08-09,2023-08-10,2,73.5,60.0,90.0,120.0,114.0,-0.050000000000000044,stop_loss
3443,2022-01-18,2022-01-19,2022-01-24,4,70.75,55.0,90.0,510.0,484.5,-0.050000000000000044,stop_loss
3443,2023-08-17,2023-08-18,2023-08-24,5,70.75,55.0,90.0,1365.0,1501.5000000000002,0.10000000000000009,take_profit
3481,2022-12-22,2022-12-23,2023-01-06,10,74.5,70.0,80.0,13.038276672363281,14.055023193359375,0.077981664797101,time_exit
3532,2024-12-25,2024-12-26,2024-12-30,3,70.75,55.0,90.0,105.0,99.75,-0.050000000000000044,stop_loss
3592,2025-04-11,2025-04-14,2025-04-25,10,95.5,100.0,90.0,320.0,321.0,0.0031250000000000444,time_exit
3592,2025-10-30,2025-10-31,2025-11-06,5,70.75,55.0,90.0,251.5,238.92499999999998,-0.050000000000000044,stop_loss
3653,2023-08-02,2023-08-04,2023-08-14,7,76.25,65.0,90.0,551.0,606.1,0.10000000000000009,take_profit
3661,2021-11-30,2021-12-01,2021-12-14,10,79.0,70.0,90.0,1000.0,950.0,-0.050000000000000044,stop_loss
3661,2025-09-30,2025-10-01,2025-10-02,2,74.5,70.0,80.0,3500.0,3325.0,-0.050000000000000044,stop_loss
3661,2026-07-31,2026-08-03,2026-08-04,2,73.5,60.0,90.0,3070.0,3377.0000000000005,0.10000000000000009,take_profit
4919,2025-11-11,2025-11-12,2025-11-18,5,91.0,100.0,80.0,53.5,50.824999999999996,-0.050000000000000044,stop_loss
4919,2026-06-11,2026-06-12,2026-06-12,1,73.5,60.0,90.0,185.5,176.225,-0.050000000000000044,stop_loss
4938,2025-06-24,2025-06-25,2025-07-08,10,71.75,65.0,80.0,76.5,77.80000305175781,0.016993503944546573,time_exit
4958,2025-11-20,2025-11-21,2025-12-01,7,79.0,70.0,90.0,136.0,149.60000000000002,0.10000000000000009,take_profit
4958,2026-08-03,2026-08-04,2026-08-05,2,74.5,70.0,80.0,418.0,459.8,0.10000000000000009,take_profit
5347,2026-02-09,2026-02-10,2026-02-11,2,74.5,70.0,80.0,130.0,123.5,-0.050000000000000044,stop_loss
5347,2026-07-22,2026-07-23,2026-07-23,1,70.0,70.0,70.0,175.0,166.25,-0.050000000000000044,stop_loss
5483,2024-09-27,2024-09-30,2024-10-08,5,70.75,55.0,90.0,176.0,167.2,-0.050000000000000044,stop_loss
6269,2026-05-14,2026-05-15,2026-05-18,2,70.0,70.0,70.0,59.400001525878906,56.43000144958496,-0.050000000000000044,stop_loss
6505,2024-11-18,2024-11-19,2024-11-27,7,76.25,65.0,90.0,45.0,42.75,-0.050000000000000044,stop_loss
6669,2024-07-31,2024-08-01,2024-08-02,2,84.5,80.0,90.0,2150.0,2042.5,-0.050000000000000044,stop_loss
6669,2026-01-22,2026-01-23,2026-01-28,4,71.75,65.0,80.0,3820.0,3629.0,-0.050000000000000044,stop_loss
8046,2024-04-23,2024-04-24,2024-05-08,10,70.75,55.0,90.0,187.5,189.0,0.008000000000000007,time_exit
