date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2021-12-15,975773.9401583382,316944.2640872828,658829.6760710553,2,0.6751867916908577,8566059.557573747,bull,-0.01543376506891081
2021-12-16,819800.1097492545,-5.820766091346741e-11,819800.1097492547,3,1.0000000000000002,8882213.436962558,bull,-0.1598462758533743
2021-12-17,805427.9445720606,-5.820766091346741e-11,805427.9445720607,3,1.0000000000000002,8882213.436962558,bull,-0.017531304285370086
2021-12-20,787520.4354563619,-5.820766091346741e-11,787520.4354563619,3,1.0,8882213.436962558,bull,-0.022233533410879303
2021-12-21,791121.0732545573,-5.820766091346741e-11,791121.0732545573,3,1.0,8882213.436962558,bull,0.0045721198283685816
2021-12-22,784603.32380448,-5.820766091346741e-11,784603.3238044801,3,1.0000000000000002,8882213.436962558,bull,-0.008238624491778812
2021-12-23,810143.2149756933,-5.820766091346741e-11,810143.2149756933,3,1.0,8882213.436962558,bull,0.03255134205571841
2021-12-24,820305.1794480025,-5.820766091346741e-11,820305.1794480025,3,1.0,8882213.436962558,bull,0.012543417366785103
2021-12-27,821798.5567464086,-5.820766091346741e-11,821798.5567464086,3,1.0,8882213.436962558,bull,0.0018205142864160528
2021-12-28,819240.6117062797,690536.8338557993,128703.77785048044,1,0.157101315549313,9574480.939574888,bull,-0.003112618073042195
2021-12-29,1061776.8582569864,678443.5234686276,383333.3347883588,1,0.36103003357752506,10230694.830581902,bull,0.29605007745595335
2021-12-30,1060174.051801718,10110.190135294339,1050063.8616664237,3,0.9904636506448045,10897361.49724857,bull,-0.0015095511291322028
2022-01-03,1000592.3891327372,325985.1901352943,674607.1989974428,2,0.6742078056201869,11214028.163915236,bull,-0.05619988771440365
2022-01-04,1023899.7742195588,357568.5234686276,666331.2507509312,2,0.6507778080709364,11914028.163915236,bull,0.023293586219482743
2022-01-05,1003371.0872118239,339276.85680196097,664094.2304098629,2,0.6618630324053423,12564028.163915236,bull,-0.020049508286475004
2022-01-06,1001248.6198674354,5110.190135294339,996138.4297321411,3,0.9948961825925204,12897361.49724857,bull,-0.0021153363610331155
2022-01-07,981467.745037134,5110.190135294339,976357.5549018397,3,0.994793318312156,12897361.49724857,bull,-0.019756206837938328
2022-01-10,954978.1715130676,302693.5234686277,652284.6480444398,2,0.6830361860637715,13864028.163915236,bull,-0.026989754536522526
2022-01-11,963103.4861298632,618568.5234686276,344534.96266123554,1,0.3577341039909589,14180694.830581902,bull,0.008508377321255312
2022-01-12,958011.8364353621,618568.5234686276,339443.3129667345,1,0.3543205835846028,14180694.830581902,bull,-0.00528671089641819
2022-01-13,1857936.8715179935,284401.85680196097,1573535.0147160327,2,0.8469259848588959,14514028.163915236,bull,0.9393673448035211
2022-01-14,923426.8907462922,600276.856801961,323150.0339443313,1,0.3499465276381208,14830694.830581902,bull,-0.5029826336393104
2022-01-17,921729.6741814585,600276.856801961,321452.81737949763,1,0.34874955899077853,14830694.830581902,bull,-0.001837954451880841
2022-01-18,1951728.66433118,254285.68232809822,1697442.9820030818,2,0.8697125850661024,15820511.5311929,bull,1.1174631988108787
2022-01-19,1912385.8589255924,254285.68232809822,1658100.1765974942,2,0.8670322303727137,15820511.5311929,bull,-0.02015792775122749
2022-01-20,1012909.9106047086,570160.6823280982,442749.22827661043,1,0.43710622597451787,16137178.197859567,bull,-0.4703422921283381
2022-01-21,1004680.3710456638,570160.6823280982,434519.6887175656,1,0.4324954495381658,16137178.197859567,bull,-0.008124651040418485
2022-01-24,1019328.8168698979,235994.0156614316,783334.8012084663,2,0.7684809732093028,16470511.5311929,neutral,0.014580205054656403
2022-01-25,1001985.0208172067,674369.3992390527,327615.6215781541,1,0.3269665860982181,17578323.11038517,neutral,-0.017014917822052333
2022-01-26,1003759.7533284645,674369.3992390527,329390.35408941173,1,0.32815656634683177,17578323.11038517,neutral,0.0017712166094163706
2022-02-07,1021742.0497026382,340202.73257238604,681539.3171302521,2,0.6670365747681651,17911656.4437185,bull,0.017914940616561292
2022-02-08,1050030.9544815738,340202.73257238604,709828.2219091879,2,0.6760069490138484,17911656.4437185,bull,0.02768693408201095
2022-02-09,1054772.7915694362,705952.732572386,348820.0589970501,1,0.3307063490688147,18278323.11038517,bull,0.004515902190906029
2022-02-10,1045185.7709204686,705952.732572386,339233.03834808257,1,0.32456721837049946,18278323.11038517,bull,-0.009089180841214795
2022-02-11,1044448.3077936249,705952.732572386,338495.5752212389,1,0.32409030939626265,18278323.11038517,bull,-0.0007055809095011245
2022-02-14,1046660.6971741559,705952.732572386,340707.96460176987,1,0.32551902017686907,18278323.11038517,bull,0.00211823731631533
2022-02-15,1057703.098725407,371786.0659057194,685917.0328196876,2,0.6484967602404277,18611656.4437185,bull,0.01055012534727262
2022-02-16,1047574.6337930912,37619.399239052786,1009955.2345540384,3,0.9640890510083856,18944989.777051833,bull,-0.009575905511216787
2022-02-17,1086485.1264983744,403369.3992390527,683115.7272593216,2,0.6287391429470651,19311656.4437185,bull,0.037143408641344244
2022-02-18,1091745.6283474574,403369.3992390527,688376.2291084046,2,0.6305280380654046,19311656.4437185,bull,0.004841761493815433
2022-02-21,1081758.0274569732,403369.3992390527,678388.6282179204,2,0.6271167959924413,19311656.4437185,bull,-0.009148285673103218
2022-02-22,1077283.1794899998,69202.7325723861,1008080.4469176137,3,0.9357617997849483,19644989.777051833,bull,-0.004136644104683063
2022-02-23,943118.4832472447,100786.06590571947,842332.4173415252,3,0.8931353083456665,20344989.777051833,bull,-0.12453985989669902
2022-02-24,1104890.7008145866,782411.0659057193,322479.63490886724,1,0.2918656430641668,21028323.11038517,bull,0.17152905010444197
2022-02-25,1106080.2835333436,114077.73257238604,992002.5509609574,3,0.8968630629523854,21694989.777051833,bull,0.0010766519420246645
2022-03-01,1126079.0091564741,114077.73257238604,1012001.2765840881,3,0.8986947348766943,21694989.777051833,bull,0.018080717937802193
2022-03-02,1124045.6087094045,114077.73257238604,1009967.8761370184,3,0.8985114734771602,21694989.777051833,bull,-0.0018057351487200668
2022-03-03,1141315.4251997755,114077.73257238604,1027237.6926273894,3,0.9000471473059974,21694989.777051833,bull,0.015363981991975972
2022-03-04,1120246.9563984438,114077.73257238604,1006169.2238260577,3,0.8981673354068802,21694989.777051833,bull,-0.018459812542745535
2022-03-07,1062579.108279765,411661.0659057194,650918.0423740455,2,0.6125831359773604,22661656.4437185,neutral,-0.05147779941672781
